entity1,relation,entity2,merged_sentence,label
The first row,contains,headers,the first row contains headers,F
table's columns,describe,the meaning,table's columns describe the meaning,F
header,describes,the corresponding data,header describes the corresponding data,F
the first row,serves as,this example,the first row serves as this example,F
the first row,serves as,header,the first row serves as header,F
Each successive line,fit into,the first line,each successive line fit into the first line,F
Each successive line,fit into,the same field,each successive line fit into the same field,F
empty fields,held with,commas,empty fields held with commas,F
individual units,are tested to determine,a method,individual units are tested to determine a method,F
individual units,are fit for,use,individual units are fit for use,F
individual units,are tested to determine,a method,individual units are tested to determine a method,F
individual units,are fit for,use,individual units are fit for use,F
Unit tests,are created by,the development process,unit tests are created by the development process,T
Unit tests,are created by,programmers,unit tests are created by programmers,T
Unit tests,are created by,white box testers,unit tests are created by white box testers,T
Unit tests,are created by,the development process,unit tests are created by the development process,T
Unit tests,are created by,programmers,unit tests are created by programmers,T
Unit tests,are created by,white box testers,unit tests are created by white box testers,T
each test case,is independent from,the others,each test case is independent from the others,F
substitutes,assist testing,a module,substitutes assist testing a module,F
these substitutes,known as,example,these substitutes known as example,F
Test Doubles,can be used to isolate,dependencies,test doubles can be used to isolate dependencies,T
code,meets,design,code meets design,F
Unit tests,are typically written,software developers,unit tests are typically written software developers,T
Unit testing,is closely related to,Test Driven Development,unit testing is closely related to test driven development,T
The goal,is to isolate,each part,the goal is to isolate each part,F
A unit test,provides,contract,a unit test provides contract,F
Files,are available to,computer programs,files are available to computer programs,F
Files,are usually based on,some kind,files are usually based on some kind,F
storing information,is available to,a computer program,storing information is available to a computer program,F
storing information,is usually based on,some kind,storing information is usually based on some kind,F
A file,is durable in,the sense,a file is durable in the sense,F
Computer files,can be considered as,the modern counterpart,computer files can be considered as the modern counterpart,F
files,are organized in,modern computer architectures,files are organized in modern computer architectures,F
files,are organized in,a tree structure,files are organized in a tree structure,T
The computer files,contain,the data,the computer files contain the data,F
many types,are also represented as,filesystems,many types are also represented as filesystems,F
many types,are also represented as,systems,many types are also represented as systems,F
many types,are also represented as,files,many types are also represented as files,F
new objects,describes,behavior,new objects describes behavior,F
new objects,describes,the common state,new objects describes the common state,F
A class,represents,a noun,a class represents a noun,F
a cohesive package,consists of,a particular kind,a cohesive package consists of a particular kind,F
the data,is partitioned into,attributes,the data is partitioned into attributes,F
the data,is partitioned into,an instance,the data is partitioned into an instance,F
A class,have,runtime,a class have runtime,T
Computer programs,model,aspects,computer programs model aspects,F
classes,provide,natural way,classes provide natural way,F
classes,create,such models,classes create such models,F
Each class,represents,a noun,each class represents a noun,F
the methods,represent,verbs,the methods represent verbs,F
verbs,may apply to,that noun,verbs may apply to that noun,F
various aspects,are modeled,example,various aspects are modeled example,F
various aspects,using,such classes,various aspects using such classes,F
An Invoice,may have,methods,an invoice may have methods,T
the system,can model,aspects,the system can model aspects,F
the system,can provide,users,the system can provide users,F
the system,can provide,useful information,the system can provide useful information,F
Classes,allow,a clear correspondence,classes allow a clear correspondence,T
Classes,provide,some control,classes provide some control,F
Classes,provide,challenging complexity,classes provide challenging complexity,T
Classes,can accelerate,development,classes can accelerate development,T
efficient class,reuse means that,addition,efficient class reuse means that addition,F
Another reason,is to simplify,the relationships,another reason is to simplify the relationships,F
GUI items,are similar to,windows,gui items are similar to windows,F
GUI items,inherit,classes,gui items inherit classes,T
GUI items,are similar to,windows,gui items are similar to windows,F
the dialog class,is unique to,The programmer operation,the dialog class is unique to the programmer operation,T
The programmer,needs only to add,code,the programmer needs only to add code,F
level configuration file,used by,Apache web servers,level configuration file used by apache web servers,F
this tag,has to say,questions,this tag has to say questions,F
this tag,say about,questions,this tag say about questions,F
specific level,overrides,level settings,specific level overrides level settings,F
specific level,must be enabled in,level configuration,specific level must be enabled in level configuration,F
URL redirection using mod_rewrite,provide,URLs,url redirection using mod_rewrite provide urls,T
URL redirection using mod_rewrite,is used by,many sites,url redirection using mod_rewrite is used by many sites,T
URL redirection using mod_rewrite,is used by,SEO purposes,url redirection using mod_rewrite is used by seo purposes,T
The Apache documentation,has,further information,the apache documentation has further information,F
The programming languages,can be used with,TensorFlow API,the programming languages can be used with tensorflow api,F
TensorFlow,provides,a python API,tensorflow provides a python api,T
TensorFlow,executing,executing data flow graphs,tensorflow executing executing data flow graphs,T
a c++ API,adding,new operation kernels,a c++ api adding new operation kernels,F
Other languages,can invoke,TensorFlow using TensorFlow,other languages can invoke tensorflow using tensorflow,F
TensorFlow,includes,TensorBoard,tensorflow includes tensorboard,T
TensorFlow,achieves,TensorFlow performance,tensorflow achieves tensorflow performance,T
TensorFlow,achieves,parallelizing execution,tensorflow achieves parallelizing execution,T
The kernel,is implemented in,c++,the kernel is implemented in c++,F
The kernel,using,efficient libraries,the kernel using efficient libraries,F
algorithmic questions,submit,questions,algorithmic questions submit questions,F
algorithmic questions,submit,Stack Overflow,algorithmic questions submit stack overflow,F
algorithmic questions,submit,help,algorithmic questions submit help,F
algorithmic questions,submit,support,algorithmic questions submit support,F
TensorFlow,discuss,mailing list,tensorflow discuss mailing list,T
mailing list,is intended for,general discussions,mailing list is intended for general discussions,F
TensorFlow End Users,was originally developed,Linux systems,tensorflow end users was originally developed linux systems,T
TensorFlow End Users,has been ported to,other operating systems including Microsoft Windows,tensorflow end users has been ported to other operating systems including microsoft windows,T
The TensorFlow community,tends to favor,Ubuntu Linux,the tensorflow community tends to favor ubuntu linux,T
The TensorFlow community,tends to favor,support,the tensorflow community tends to favor support,T
the AMD Radeon product line,is improving,improving NVIDIA support,the amd radeon product line is improving improving nvidia support,T
common brand,used in,a TensorFlow workstation,common brand used in a tensorflow workstation,F
any recommendations,become out of,date,any recommendations become out of date,F
any recommendations,become out of,the continuing improvements,any recommendations become out of the continuing improvements,F
Ubuntu 64 bit Linux,be using,using 16.x,ubuntu 64 bit linux be using using 16.x,T
Ubuntu 64 bit Linux,be using,using 16.x,ubuntu 64 bit linux be using using 16.x,T
people,be using,using 16.x,people be using using 16.x,F
GPU enabled GPU,enabled,later series,gpu enabled gpu enabled later series,F
GPU enabled GPU,enabled,memory,gpu enabled gpu enabled memory,F
much data,is being processed,GitHub,much data is being processed github,F
much data,is being processed,Neural Networks,much data is being processed neural networks,F
TensorFlow,is not known to,Python,tensorflow is not known to python,T
TensorFlow,is released under,an Apache 2.0 License,tensorflow is released under an apache 2.0 license,T
Symfony,refers to,a PHP framework,symfony refers to a php framework,T
the framework,is built,a set,the framework is built a set,F
This tag,be used for,questions,this tag be used for questions,F
web,built on,a catalog,web built on a catalog,T
applications,built on,a catalog,applications built on a catalog,F
Symfony,aims to speed,the creation,symfony aims to speed the creation,T
Symfony,aims to speed,maintenance,symfony aims to speed maintenance,T
Symfony,replace,repetitive coding tasks,symfony replace repetitive coding tasks,T
a low performance overhead,used with,a bytecode cache,a low performance overhead used with a bytecode cache,F
Symfony,is aimed at,robust applications,symfony is aimed at robust applications,T
everything,can be customized,the directory structure,everything can be customized the directory structure,F
Symfony,is bundled with,additional tools,symfony is bundled with additional tools,F
Symfony,help,developers test,symfony help developers test,T
Symfony,help,debug,symfony help debug,T
Symfony,help,document projects,symfony help document projects,T
This tag,should be used for,generic Symfony questions,this tag should be used for generic symfony questions,F
the question,is related to,a specific version,the question is related to a specific version,F
stable version,can be found on,the roadmap page,stable version can be found on the roadmap page,F
Symfony,maintains,releases,symfony maintains releases,T
releases,are maintained for,several years,releases are maintained for several years,F
releases,are only maintained for,ten months,releases are only maintained for ten months,F
The current LTS release,will receive,security updates,the current lts release will receive security updates,F
The current LTS release,will receive,November,the current lts release will receive november,F
The Symfony team,is committed to provide,a direct upgrade path,the symfony team is committed to provide a direct upgrade path,T
the version,matches,the Symfony version,the version matches the symfony version,F
people,build,web sites using PHP,people build web sites using php,F
people,build,version,people build version,F
people,build,web sites using PHP implements,people build web sites using php implements,F
people,build,version,people build version,F
people,build,web sites using PHP implements,people build web sites using php implements,F
people,build,web sites using PHP,people build web sites using php,F
people,build,web sites using PHP performance,people build web sites using php performance,F
people,build,web sites using PHP documentation,people build web sites using php documentation,F
an Application Development Framework,is praised for,an Application Development Framework,an application development framework is praised for an application development framework,F
people,build,web sites using PHP,people build web sites using php,F
the previous version,was released under,the Open Software License,the previous version was released under the open software license,F
CodeIgniter goal,is to enable,developers,codeigniter goal is to enable developers,T
CodeIgniter,is loosely based on,Controller development pattern,codeigniter is loosely based on controller development pattern,T
base_url,returns,unexpected results,base_url returns unexpected results,F
cases,are related to,deep learning,cases are related to deep learning,F
cases,are related to,graph processing,cases are related to graph processing,F
Apache Spark,offers,a general execution model,apache spark offers a general execution model,T
Apache Spark,promises,performance,apache spark promises performance,T
Apache Spark,is not tied to,stage mapreduce paradigm,apache spark is not tied to stage mapreduce paradigm,T
Spark,provides,primitives,spark provides primitives,T
memory cluster computing,allows,user programs,memory cluster computing allows user programs,T
Spark,provides,memory cluster computing,spark provides memory cluster computing,T
memory cluster computing,load,data,memory cluster computing load data,T
Spark,can be used to tackle,stream processing problems,spark can be used to tackle stream processing problems,T
Apache Spark,provides,concise APIs,apache spark provides concise apis,T
Apache Spark,provides,java,apache spark provides java,T
Apache Spark,provides,python,apache spark provides python,T
Apache Spark,provides,r,apache spark provides r,T
Apache Spark,provides,scala,apache spark provides scala,T
related question,don't forget to provide,a reproducible example,related question don't forget to provide a reproducible example,F
Programming Guide,Shows each of,Apache Spark supported languages,programming guide shows each of apache spark supported languages,F
A date,consists of,year,a date consists of year,T
A date,consists of,month,a date consists of month,T
A date,consists of,day,a date consists of day,T
an ambiguous interval,refers to,month,an ambiguous interval refers to month,T
an ambiguous interval,refers to,year,an ambiguous interval refers to year,T
an ambiguous interval,refers to,a day,an ambiguous interval refers to a day,T
A date,does not refer to,a specific moment,a date does not refer to a specific moment,T
A date,does not refer to,time,a date does not refer to time,T
the Date type,represents,a date,the date type represents a date,T
the Date type,represents,time,the date type represents time,T
the Date type,represents,some programming languages,the date type represents some programming languages,T
the Date type,represents,javascript,the date type represents javascript,T
the output,must satisfy,two conditions,the output must satisfy two conditions,F
a web browser,uses,the Blink rendering engine,a web browser uses the blink rendering engine,T
a free desktop browser,uses,V8 JavaScript engine,a free desktop browser uses v8 javascript engine,T
a free desktop browser,uses,the Blink rendering engine,a free desktop browser uses the blink rendering engine,T
Google Chrome,was launched in,a goal,google chrome was launched in a goal,F
General usage questions,should be asked on,Super User,general usage questions should be asked on super user,F
Google Chrome,should be used on,questions,google chrome should be used on questions,F
devtools,is released as,DevTools,devtools is released as devtools,T
devtools,is released as,part,devtools is released as part,F
devtools,is released as,Chromium,devtools is released as chromium,T
extension,was assembled from,devtools,extension was assembled from devtools,F
extension,was assembled from,DevTools,extension was assembled from devtools,F
extension,was assembled from,25 different code libraries,extension was assembled from 25 different code libraries,F
extension,was assembled from,Chromium,extension was assembled from chromium,F
Google Chrome,was first publicly released for,a beta version,google chrome was first publicly released for a beta version,T
Google Chrome,is available in,53 languages,google chrome is available in 53 languages,T
Google Chrome,was first publicly released for,September,google chrome was first publicly released for september,F
Google Chrome,was first publicly released for,43 languages,google chrome was first publicly released for 43 languages,T
Google Chrome,was first publicly released for,Microsoft Windows,google chrome was first publicly released for microsoft windows,T
SQL,is only used by,these two products,sql is only used by these two products,F
SQL,share,the name,sql share the name,F
Microsoft SQL Server,was based on,sybase ASE code,microsoft sql server was based on sybase ase code,T
Microsoft SQL Server,was based on,a partnership,microsoft sql server was based on a partnership,T
SQL,is central to using,using Microsoft,sql is central to using using microsoft,F
All applications,communicate with,an instance,all applications communicate with an instance,F
All applications,do so by sending,SQL statements,all applications do so by sending sql statements,F
All applications,do so by sending,the user interface,all applications do so by sending the user interface,F
SQL,adheres to,SQL,sql adheres to sql,F
SQL,Transact Structured,standards,sql transact structured standards,T
SQL,supplies,an additional set,sql supplies an additional set,F
Questions,include,the version,questions include the version,F
Questions,should be tagged appropriately with,server,questions should be tagged appropriately with server,F
Questions,should be tagged appropriately with,sybase,questions should be tagged appropriately with sybase,F
information,can be found in,SQL,information can be found in sql,F
information,Transact Structured,Query Language,information transact structured query language,F
regular expressions,are based on,the PCRE library,regular expressions are based on the pcre library,T
Perl,runs on over,100 platforms,perl runs on over 100 platforms,T
Perl,runs on over,portables,perl runs on over portables,T
Perl,is suitable for,both rapid prototyping,perl is suitable for both rapid prototyping,T
Perl,is suitable for,scale development projects,perl is suitable for scale development projects,T
Perl,refer to,a family,perl refer to a family,T
The languages,include,Perl,the languages include perl,F
The languages,include,Raku,the languages include raku,F
regular expressions,do not use,tag perl,regular expressions do not use tag perl,T
regular expressions,do not use,style,regular expressions do not use style,T
several hosts,are working across,computer networks,several hosts are working across computer networks,F
Google Maps,provided by,Google,google maps provided by google,T
a desktop,provided by,Google,a desktop provided by google,F
mobile web mapping service application,provided by,Google,mobile web mapping service application provided by google,F
technology,provided by,Google,technology provided by google,F
a web,provided by,Google LLC,a web provided by google llc,F
standalone mapping service application,provided by,Google LLC,standalone mapping service application provided by google llc,F
services,maps embedded on,party websites,services maps embedded on party websites,F
services,maps embedded on,mobile applications,services maps embedded on mobile applications,F
services,maps embedded on,party websites,services maps embedded on party websites,F
services,maps embedded on,mobile applications,services maps embedded on mobile applications,F
each service,will be billed according to,the Google Maps Platform Billing documentation,each service will be billed according to the google maps platform billing documentation,F
Administration,is done via,the Google Developers Console,administration is done via the google developers console,F
a subclass,allows,users,a subclass allows users,F
UITableView,uses,an efficient architecture,uitableview uses an efficient architecture,T
an efficient architecture,reuses existing,improving memory usage,an efficient architecture reuses existing improving memory usage,F
an efficient architecture,reuses existing,performance,an efficient architecture reuses existing performance,T
an efficient architecture,reuses existing,existing UITableViewCell objects,an efficient architecture reuses existing existing uitableviewcell objects,F
OpenCV,provides,a rich API,opencv provides a rich api,T
The library,used for,computer vision,the library used for computer vision,F
The library,supports,Windows,the library supports windows,F
The library,supports,Linux,the library supports linux,F
The library,supports,OS X,the library supports os x,F
OpenCV,was officially launched by,Intel,opencv was officially launched by intel,T
OpenCV,is now supported by,Itseez,opencv is now supported by itseez,T
Version,introduced,comprehensive C++ interface,version introduced comprehensive c++ interface,F
OpenCV,saw,a strong acceleration,opencv saw a strong acceleration,T
OpenCV,saw,this release,opencv saw this release,F
2015 The library,deprecating,the C API,2015 the library deprecating the c api,F
2015 The library,emphasizing,design,2015 the library emphasizing design,F
2015 The library,upgraded to,2015 The library,2015 the library upgraded to 2015 the library,F
2015 The library,upgraded to,version,2015 the library upgraded to version,F
Practical Computer Vision Projects OpenCV 2 Computer Vision Application Programming Cookbook Learning OpenCV Computer Vision,Learning,Practical Computer Vision Projects OpenCV 2 Computer Vision Application Programming Cookbook Learning OpenCV Computer Vision,practical computer vision projects opencv 2 computer vision application programming cookbook learning opencv computer vision learning practical computer vision projects opencv 2 computer vision application programming cookbook learning opencv computer vision,F
Practical Computer Vision Projects OpenCV 2 Computer Vision Application Programming Cookbook Learning OpenCV Computer Vision,Learning,the OpenCV Library,practical computer vision projects opencv 2 computer vision application programming cookbook learning opencv computer vision learning the opencv library,F
A dictionary,maps,keys,a dictionary maps keys,F
A dictionary,maps,values,a dictionary maps values,F
a data structure,maps,keys,a data structure maps keys,T
a data structure,maps,values,a data structure maps values,F
corresponding value,can be efficiently retrieved,a key,corresponding value can be efficiently retrieved a key,F
associative array,is commonly implemented as,a hash map,associative array is commonly implemented as a hash map,T
symbol table,is commonly implemented as,a hash map,symbol table is commonly implemented as a hash map,T
symbol table,may be implemented as,list,symbol table may be implemented as list,F
associative array,may be implemented as,list,associative array may be implemented as list,T
associative container,contains,value pairs,associative container contains value pairs,T
specifications,are set for,Validation,specifications are set for validation,F
Validation,is used to check,data,validation is used to check data,F
Validation,is used in checking,checking input data,validation is used in checking checking input data,T
a program,operates,useful data,a program operates useful data,F
common reasons,are to avoid,entering data,common reasons are to avoid entering data,F
common reasons,avoid entering,entering data,common reasons avoid entering entering data,F
entering data,violates,a database schema,entering data violates a database schema,F
common reasons,prevent,unauthorized exploitation,common reasons prevent unauthorized exploitation,F
generalizations,can be made regarding,the different types,generalizations can be made regarding the different types,F
generalizations,can be made regarding,the scope,generalizations can be made regarding the scope,F
generalizations,can be made regarding,complexity,generalizations can be made regarding complexity,F
generalizations,can be made regarding,purpose,generalizations can be made regarding purpose,F
the combination,is primarily used in,the Transport Layer,the combination is primarily used in the transport layer,F
a common misunderstanding,is discussed,this answer,a common misunderstanding is discussed this answer,F
Hypertext Transfer Protocol,uses,response model,hypertext transfer protocol uses response model,T
The response,is returned with,a status code,the response is returned with a status code,F
the request,are made up of,a header,the request are made up of a header,T
the request,are made up of,an optional body,the request are made up of an optional body,T
response,are made up of,a header,response are made up of a header,T
response,are made up of,an optional body,response are made up of an optional body,T
a header,contains,a list,a header contains a list,T
an optional body,contains,a list,an optional body contains a list,T
a request,may have,headers,a request may have headers,T
a request,is telling,the server,a request is telling the server,F
a request,may have,example,a request may have example,F
a request,is telling,example,a request is telling example,F
The response,can be sent with,the body,the response can be sent with the body,T
a request,needs,a body,a request needs a body,T
a request,is sending,additional data,a request is sending additional data,T
a request,is sending,instance,a request is sending instance,F
a request,is sending,the server,a request is sending the server,F
sending information,entered into,a form,sending information entered into a form,F
The response headers,will include,information,the response headers will include information,F
The response body,will have,data,the response body will have data,F
HTTP,is used by,browsers,http is used by browsers,T
HTTP,be used for,data APIs,http be used for data apis,T
HTTP,be used for,instance,http be used for instance,T
HTTP,be used for,a soap,http be used for a soap,T
HTTP,be used for,rest,http be used for rest,T
HTTP,be used for,graphql service,http be used for graphql service,T
HTTP,retrieve,web content,http retrieve web content,T
mobile development platform,allows,developers,mobile development platform allows developers,F
mobile development platform,create,mobile applications using JavaScript,mobile development platform create mobile applications using javascript,T
Apache Cordova,provides,a JavaScript library,apache cordova provides a javascript library,T
Apache Cordova,provides,wrapper,apache cordova provides wrapper,T
Apache Cordova,provides,access,apache cordova provides access,T
Apache Cordova,was originally called,PhoneGap,apache cordova was originally called phonegap,T
Nitobi,was acquired by,Adobe,nitobi was acquired by adobe,T
the PhoneGap code,was donated to,Apache,the phonegap code was donated to apache,T
the PhoneGap code,was donated to,the name,the phonegap code was donated to the name,F
The project,graduated from,the Apache Incubation,the project graduated from the apache incubation,F
The project,graduated from,October,the project graduated from october,F
Adobe,contributes to,the original PhoneGap site,adobe contributes to the original phonegap site,T
Adobe,contributes to,The project,adobe contributes to the project,T
Adobe,contributes to,hosts,adobe contributes to hosts,T
mobile application,is written in,CSS,mobile application is written in css,F
mobile application,is written in,JavaScript,mobile application is written in javascript,T
mobile application,is written in,HTML,mobile application is written in html,T
The JavaScript,used by,Apache Cordova,the javascript used by apache cordova,T
application package,can be compiled using,the vendor's SDK,application package can be compiled using the vendor's sdk,F
project,can be submitted with,PhoneGap Build,project can be submitted with phonegap build,F
project,can be submitted with,minor modifications,project can be submitted with minor modifications,F
project,compiled for,the need,project compiled for the need,F
project,compiled for,multiple mobile platforms,project compiled for multiple mobile platforms,F
PhoneGap Build,supports,iOS,phonegap build supports ios,T
PhoneGap Build,supports,Android,phonegap build supports android,T
PhoneGap Build,supports,Windows Phone,phonegap build supports windows phone,T
version,is distributed primarily via,nodejs,version is distributed primarily via nodejs,F
version,is distributed primarily via,projects,version is distributed primarily via projects,F
plugins registry,was moved to,plugins registry,plugins registry was moved to plugins registry,F
plugins registry,was moved to,April,plugins registry was moved to april,F
plugins registry,was moved to,plugins registry,plugins registry was moved to plugins registry,F
Apache Cordova,has varying,varying degrees,apache cordova has varying varying degrees,T
Apache Cordova,has,code,apache cordova has code,T
A DateTime object,describes,a date,a datetime object describes a date,T
A DateTime object,describes,a time,a datetime object describes a time,T
A DateTime object,can express,an instant,a datetime object can express an instant,T
A DateTime object,can express,a position,a datetime object can express a position,T
A DateTime object,can express,a calendar,a datetime object can express a calendar,T
A DateTime object,can express,time,a datetime object can express time,T
A DateTime object,is used,the context,a datetime object is used the context,T
This tag,can be used for,all date,this tag can be used for all date,F
This tag,can be used for,time,this tag can be used for time,F
A DateTime object,describes,a date,a datetime object describes a date,T
A DateTime object,describes,a time,a datetime object describes a time,T
A DateTime object,can express,an instant,a datetime object can express an instant,T
A DateTime object,can express,a position,a datetime object can express a position,T
A DateTime object,can express,a calendar,a datetime object can express a calendar,T
A DateTime object,can express,time,a datetime object can express time,T
A DateTime object,is used,the context,a datetime object is used the context,T
os.date,are provided as,part,os.date are provided as part,F
os.time,are provided as,part,os.time are provided as part,F
a type,represents,a date,a type represents a date,F
a type,represents,time,a type represents time,F
datetime,carries,no time zone context,datetime carries no time zone context,T
datetime values,represent,a date,datetime values represent a date,T
datetime values,represent,time,datetime values represent time,T
datetime values,represent,mysql,datetime values represent mysql,T
TIMESTAMP values,represent,a moment,timestamp values represent a moment,T
TIMESTAMP values,represent,time,timestamp values represent time,T
TIMESTAMP values,are based on,UNIX time,timestamp values are based on unix time,T
datetime,represents,an instant,datetime represents an instant,T
datetime,represents,a position,datetime represents a position,T
The precise meaning,is dependent on,the value,the precise meaning is dependent on the value,F
a class,represents,an instant,a class represents an instant,F
a class,represents,time,a class represents time,F
a class,represents,an instant,a class represents an instant,F
a class,represents,time,a class represents time,F
a class,represents,reference,a class represents reference,F
an object,represents,a date,an object represents a date,T
an object,represents,time,an object represents time,T
The precise meaning,is dependent on,the value,the precise meaning is dependent on the value,F
the module,provides,date,the module provides date,F
the time,can be used,fortran,the time can be used fortran,F
fortran,can be used,fortran,fortran can be used fortran,F
a Date instance,represents,a single moment,a date instance represents a single moment,T
a Date instance,represents,javascript,a date instance represents javascript,T
a Date instance,represents,time,a date instance represents time,T
Date objects,are based on,a time value,date objects are based on a time value,T
the classes,represent,times,the classes represent times,F
the classes,represent,calendar dates,the classes represent calendar dates,F
the classes,represent,r,the classes represent r,F
Subtraction,is equivalent to using,using difftime,subtraction is equivalent to using using difftime,F
POSIXct,represents,number,posixct represents number,T
POSIXct,represents,the beginning,posixct represents the beginning,T
excel excel,uses,the 1900 date system,excel excel uses the 1900 date system,T
excel excel,uses,excel,excel excel uses excel,T
excel excel,uses,default,excel excel uses default,F
a Date,can be used to manipulate,minutes values,a date can be used to manipulate minutes values,T
Time function,can be used to manipulate,minutes values,time function can be used to manipulate minutes values,T
an application,responds to,the protocol,an application responds to the protocol,F
an application,responds to,requests,an application responds to requests,F
The term,designate,the application protocol,the term designate the application protocol,F
Some web services,follow,the REST,some web services follow the rest,F
communication,takes,the form,communication takes the form,F
the server,does not keep,track,the server does not keep track,F
the server,does not keep,successive requests,the server does not keep successive requests,F
The W3C,standardizes,WSDL,the w3c standardizes wsdl,T
Core apps,can be run on,Windows,core apps can be run on windows,T
Tools,can be installed from,https://dotnet.microsoft.com/download,tools can be installed from https://dotnet.microsoft.com/download,F
the execution,enters,the loop,the execution enters the loop,F
a tag,be provided,wpf,a tag be provided wpf,F
a tag,be provided,the usage,a tag be provided the usage,F
a tag,be provided,a specific framework,a tag be provided a specific framework,F
Python,may be used,alone GUIs,python may be used alone guis,T
interface,is similar to,the plotting functions,interface is similar to the plotting functions,F
Matplotlib,provides,API,matplotlib provides api,T
Matplotlib,provides,applications,matplotlib provides applications,T
Matplotlib,using,toolkits,matplotlib using toolkits,T
output PNG,using,toolkits,output png using toolkits,T
PDF,using,toolkits,pdf using toolkits,T
PS,using,toolkits,ps using toolkits,T
EPS,using,toolkits,eps using toolkits,T
TIFF,using,toolkits,tiff using toolkits,T
JPEG,using,toolkits,jpeg using toolkits,T
PGF,using,toolkits,pgf using toolkits,T
SVG files,using,toolkits,svg files using toolkits,T
plot,using,toolkits,plot using toolkits,T
Cloud services,include,cloud building,cloud services include cloud building,T
Major subsystems,include,party asset store,major subsystems include party asset store,F
Major subsystems,include,Unity,major subsystems include unity,F
Major subsystems,include,PhysX game physics,major subsystems include physx game physics,F
Major subsystems,include,Mecanim animation,major subsystems include mecanim animation,F
Release,released on,the 15th,release released on the 15th,F
A layout,defines,the visual structure,a layout defines the visual structure,T
A layout,defines,a user interface,a layout defines a user interface,T
A layout,is made up of,View,a layout is made up of view,T
A layout,is made up of,ViewGroup,a layout is made up of viewgroup,T
Android,provides,a straightforward XML vocabulary,android provides a straightforward xml vocabulary,T
a straightforward XML vocabulary,corresponds to,the View classes,a straightforward xml vocabulary corresponds to the view classes,T
a straightforward XML vocabulary,corresponds to,subclasses,a straightforward xml vocabulary corresponds to subclasses,T
application,can create,View,application can create view,F
application,can create,ViewGroup objects,application can create viewgroup objects,F
application,manipulate,View,application manipulate view,F
application,manipulate,ViewGroup objects,application manipulate viewgroup objects,F
Each subclass,provides,a unique way,each subclass provides a unique way,F
Each subclass,display,the views,each subclass display the views,F
common layout types,are built into,the Android platform,common layout types are built into the android platform,T
an object,refers to,programming,an object refers to programming,T
an object,refers to,an instance,an object refers to an instance,F
Objects,have,members,objects have members,T
Objects,have,methods,objects have methods,T
Classes,can have,own members,classes can have own members,T
Classes,can have,methods,classes can have methods,T
own members,define,the properties,own members define the properties,T
own members,define,abilities,own members define abilities,T
methods,define,the properties,methods define the properties,T
methods,define,abilities,methods define abilities,T
a Bird class objects,might have,an age property,a bird class objects might have an age property,T
a Bird class objects,might have,a fly ability,a bird class objects might have a fly ability,T
a Bird class,might have,birds,a bird class might have birds,F
a Bird class objects,might have,instance,a bird class objects might have instance,F
ability,is applicable for,the set,ability is applicable for the set,F
a file,could be represented as,instance,a file could be represented as instance,F
a file,could be represented as,an object,a file could be represented as an object,T
Ruby,follows,the principle,ruby follows the principle,T
Rails,brings,new features,rails brings new features,F
Rails,brings,improvements,rails brings improvements,T
Rails,brings,Rails versions,rails brings rails versions,F
Questions,be asked on,the appropriate tags,questions be asked on the appropriate tags,F
Questions,belong on,Server Fault,questions belong on server fault,F
Modern email,operates across,the Internet,modern email operates across the internet,T
Modern email,operates across,other computer networks,modern email operates across other computer networks,T
the sender,be online at,the same time,the sender be online at the same time,F
the recipient,be online at,the same time,the recipient be online at the same time,F
Today's email systems,are based on,forward model,today's email systems are based on forward model,T
Email servers,accept,messages,email servers accept messages,T
the many layers,Programmers coming from,modern protocols,the many layers programmers coming from modern protocols,F
The tag email,can be used for,problem,the tag email can be used for problem,F
Kotlin,combines,OOP,kotlin combines oop,T
Kotlin,combines,functional features,kotlin combines functional features,T
Kotlin,is focused on,tooling support,kotlin is focused on tooling support,T
Kotlin,is focused on,interoperability,kotlin is focused on interoperability,T
Kotlin,is focused on,safety,kotlin is focused on safety,T
Kotlin,is focused on,clarity,kotlin is focused on clarity,T
Kotlin,targets,the JVM,kotlin targets the jvm,T
Kotlin,targets,JavaScript,kotlin targets javascript,T
Kotlin,targets,native targets,kotlin targets native targets,T
Kotlin,targets,Kotlin,kotlin targets kotlin,F
Kotlin,supports,Kotlin,kotlin supports kotlin,F
Kotlin,supports,JVM bytecode,kotlin supports jvm bytecode,T
Kotlin,supports,JavaScript,kotlin supports javascript,T
Kotlin,supports,Native code,kotlin supports native code,T
The goals,are to make,The goals,the goals are to make the goals,F
The goals,be seamlessly interoperable with existing,existing Java libraries,the goals be seamlessly interoperable with existing existing java libraries,F
The Kotlin team released version,released,The Kotlin team released version,the kotlin team released version released the kotlin team released version,F
The Kotlin team released version,released,February,the kotlin team released version released february,F
data,is organized in,the form,data is organized in the form,F
Methods,can access,attributes,methods can access attributes,T
computer programs,are designed based on having,OOP,computer programs are designed based on having oop,F
computer programs,are designed based on having,having objects,computer programs are designed based on having having objects,F
OOP,includes,features,oop includes features,T
A framework,promotes,code,a framework promotes code,F
layers,see,Portland Pattern Repository's MVC Entry Spring Version,layers see portland pattern repository's mvc entry spring version,F
Spring MVC,stands for,Model View Controller,spring mvc stands for model view controller,T
the current docs,can be found in,the MVC section,the current docs can be found in the mvc section,F
Spring Version,supports,Java 9 features,spring version supports java 9 features,F
this release,requires,Java SE,this release requires java se,F
